DATE,PAYEMS_CHG
1939-02-01,178
1939-03-01,179
1939-04-01,-186
1939-05-01,206
1939-06-01,202
1939-07-01,-83
1939-08-01,244
1939-09-01,369
1939-10-01,376
1939-11-01,61
1939-12-01,70
1940-01-01,64
1940-02-01,112
1940-03-01,111
1940-04-01,-126
1940-05-01,180
1940-06-01,98
1940-07-01,-36
1940-08-01,410
1940-09-01,458
1940-10-01,455
1940-11-01,403
1940-12-01,504
1941-01-01,308
1941-02-01,364
1941-03-01,250
1941-04-01,375
1941-05-01,713
1941-06-01,469
1941-07-01,486
1941-08-01,407
1941-09-01,291
1941-10-01,113
1941-11-01,76
1941-12-01,80
1942-01-01,243
1942-02-01,166
1942-03-01,423
1942-04-01,416
1942-05-01,420
1942-06-01,256
1942-07-01,443
1942-08-01,517
1942-09-01,267
1942-10-01,260
1942-11-01,158
1942-12-01,242
1943-01-01,257
1943-02-01,223
1943-03-01,158
1943-04-01,94
1943-05-01,-51
1943-06-01,185
1943-07-01,-80
1943-08-01,-155
1943-09-01,-61
1943-10-01,190
1943-11-01,145
1943-12-01,-74
1944-01-01,-91
1944-02-01,-111
1944-03-01,-252
1944-04-01,-229
1944-05-01,-78
1944-06-01,-38
1944-07-01,-42
1944-08-01,-55
1944-09-01,-178
1944-10-01,37
1944-11-01,3
1944-12-01,149
1945-01-01,36
1945-02-01,7
1945-03-01,-108
1945-04-01,-353
1945-05-01,-139
1945-06-01,-155
1945-07-01,-276
1945-08-01,-406
1945-09-01,-1967
1945-10-01,99
1945-11-01,398
1945-12-01,115
1946-01-01,720
1946-02-01,-581
1946-03-01,942
1946-04-01,716
1946-05-01,440
1946-06-01,384
1946-07-01,420
1946-08-01,490
1946-09-01,266
1946-10-01,185
1946-11-01,303
1946-12-01,-18
1947-01-01,160
1947-02-01,24
1947-03-01,43
1947-04-01,-114
1947-05-01,146
1947-06-01,170
1947-07-01,-65
1947-08-01,216
1947-09-01,242
1947-10-01,214
1947-11-01,72
1947-12-01,92
1948-01-01,103
1948-02-01,-145
1948-03-01,144
1948-04-01,-311
1948-05-01,425
1948-06-01,238
1948-07-01,127
1948-08-01,16
1948-09-01,119
1948-10-01,-44
1948-11-01,-57
1948-12-01,-165
1949-01-01,-358
1949-02-01,-171
1949-03-01,-262
1949-04-01,-8
1949-05-01,-248
1949-06-01,-243
1949-07-01,-210
1949-08-01,93
1949-09-01,162
1949-10-01,-834
1949-11-01,295
1949-12-01,272
1950-01-01,11
1950-02-01,-230
1950-03-01,654
1950-04-01,424
1950-05-01,342
1950-06-01,366
1950-07-01,370
1950-08-01,734
1950-09-01,254
1950-10-01,270
1950-11-01,66
1950-12-01,77
1951-01-01,433
1951-02-01,289
1951-03-01,294
1951-04-01,-15
1951-05-01,97
1951-06-01,115
1951-07-01,-6
1951-08-01,-53
1951-09-01,-54
1951-10-01,54
1951-11-01,139
1951-12-01,161
1952-01-01,-11
1952-02-01,224
1952-03-01,-18
1952-04-01,112
1952-05-01,29
1952-06-01,-359
1952-07-01,-142
1952-08-01,779
1952-09-01,396
1952-10-01,279
1952-11-01,218
1952-12-01,348
1953-01-01,-19
1953-02-01,194
1953-03-01,136
1953-04-01,-43
1953-05-01,59
1953-06-01,31
1953-07-01,14
1953-08-01,-49
1953-09-01,-122
1953-10-01,-123
1953-11-01,-335
1953-12-01,-205
1954-01-01,-234
1954-02-01,-86
1954-03-01,-224
1954-04-01,20
1954-05-01,-213
1954-06-01,-69
1954-07-01,-61
1954-08-01,-10
1954-09-01,57
1954-10-01,62
1954-11-01,234
1954-12-01,153
1955-01-01,166
1955-02-01,147
1955-03-01,319
1955-04-01,284
1955-05-01,265
1955-06-01,278
1955-07-01,195
1955-08-01,126
1955-09-01,151
1955-10-01,169
1955-11-01,161
1955-12-01,213
1956-01-01,170
1956-02-01,192
1956-03-01,128
1956-04-01,80
1956-05-01,131
1956-06-01,78
1956-07-01,-630
1956-08-01,676
1956-09-01,-29
1956-10-01,180
1956-11-01,41
1956-12-01,108
1957-01-01,-42
1957-02-01,209
1957-03-01,60
1957-04-01,81
1957-05-01,-89
1957-06-01,-83
1957-07-01,57
1957-08-01,3
1957-09-01,-194
1957-10-01,-167
1957-11-01,-206
1957-12-01,-174
1958-01-01,-308
1958-02-01,-501
1958-03-01,-276
1958-04-01,-273
1958-05-01,-114
1958-06-01,-1
1958-07-01,125
1958-08-01,194
1958-09-01,275
1958-10-01,-20
1958-11-01,458
1958-12-01,144
1959-01-01,392
1959-02-01,207
1959-03-01,329
1959-04-01,304
1959-05-01,229
1959-06-01,130
1959-07-01,124
1959-08-01,-469
1959-09-01,95
1959-10-01,-70
1959-11-01,276
1959-12-01,540
1960-01-01,99
1960-02-01,239
1960-03-01,-55
1960-04-01,354
1960-05-01,-339
1960-06-01,-126
1960-07-01,-43
1960-08-01,-33
1960-09-01,-43
1960-10-01,-84
1960-11-01,-182
1960-12-01,-218
1961-01-01,-61
1961-02-01,-127
1961-03-01,106
1961-04-01,-36
1961-05-01,159
1961-06-01,192
1961-07-01,146
1961-08-01,175
1961-09-01,90
1961-10-01,134
1961-11-01,221
1961-12-01,128
1962-01-01,20
1962-02-01,296
1962-03-01,89
1962-04-01,326
1962-05-01,25
1962-06-01,17
1962-07-01,102
1962-08-01,92
1962-09-01,139
1962-10-01,64
1962-11-01,15
1962-12-01,-28
1963-01-01,88
1963-02-01,114
1963-03-01,92
1963-04-01,258
1963-05-01,36
1963-06-01,42
1963-07-01,136
1963-08-01,116
1963-09-01,167
1963-10-01,207
1963-11-01,-29
1963-12-01,105
1964-01-01,127
1964-02-01,264
1964-03-01,147
1964-04-01,24
1964-05-01,167
1964-06-01,132
1964-07-01,192
1964-08-01,206
1964-09-01,284
1964-10-01,-109
1964-11-01,423
1964-12-01,204
1965-01-01,162
1965-02-01,217
1965-03-01,203
1965-04-01,256
1965-05-01,233
1965-06-01,198
1965-07-01,273
1965-08-01,265
1965-09-01,262
1965-10-01,228
1965-11-01,279
1965-12-01,324
1966-01-01,207
1966-02-01,268
1966-03-01,396
1966-04-01,244
1966-05-01,275
1966-06-01,399
1966-07-01,191
1966-08-01,206
1966-09-01,137
1966-10-01,210
1966-11-01,165
1966-12-01,181
1967-01-01,207
1967-02-01,21
1967-03-01,102
1967-04-01,-63
1967-05-01,152
1967-06-01,131
1967-07-01,137
1967-08-01,255
1967-09-01,22
1967-10-01,61
1967-11-01,478
1967-12-01,197
1968-01-01,-95
1968-02-01,410
1968-03-01,80
1968-04-01,260
1968-05-01,98
1968-06-01,251
1968-07-01,221
1968-08-01,203
1968-09-01,159
1968-10-01,233
1968-11-01,265
1968-12-01,261
1969-01-01,192
1969-02-01,262
1969-03-01,205
1969-04-01,167
1969-05-01,256
1969-06-01,308
1969-07-01,93
1969-08-01,277
1969-09-01,-89
1969-10-01,203
1969-11-01,-33
1969-12-01,153
1970-01-01,-64
1970-02-01,128
1970-03-01,148
1970-04-01,-104
1970-05-01,-225
1970-06-01,-94
1970-07-01,24
1970-08-01,-120
1970-09-01,15
1970-10-01,-429
1970-11-01,-110
1970-12-01,381
1971-01-01,76
1971-02-01,-60
1971-03-01,53
1971-04-01,178
1971-05-01,210
1971-06-01,6
1971-07-01,62
1971-08-01,55
1971-09-01,247
1971-10-01,25
1971-11-01,204
1971-12-01,262
1972-01-01,337
1972-02-01,207
1972-03-01,293
1972-04-01,218
1972-05-01,304
1972-06-01,293
1972-07-01,-52
1972-08-01,430
1972-09-01,125
1972-10-01,410
1972-11-01,294
1972-12-01,303
1973-01-01,351
1973-02-01,396
1973-03-01,268
1973-04-01,170
1973-05-01,191
1973-06-01,241
1973-07-01,24
1973-08-01,255
1973-09-01,110
1973-10-01,330
1973-11-01,306
1973-12-01,123
1974-01-01,69
1974-02-01,150
1974-03-01,42
1974-04-01,86
1974-05-01,165
1974-06-01,55
1974-07-01,33
1974-08-01,-16
1974-09-01,-8
1974-10-01,18
1974-11-01,-368
1974-12-01,-604
1975-01-01,-360
1975-02-01,-378
1975-03-01,-270
1975-04-01,-188
1975-05-01,162
1975-06-01,-103
1975-07-01,249
1975-08-01,386
1975-09-01,75
1975-10-01,305
1975-11-01,145
1975-12-01,338
1976-01-01,488
1976-02-01,311
1976-03-01,232
1976-04-01,243
1976-05-01,19
1976-06-01,65
1976-07-01,171
1976-08-01,157
1976-09-01,188
1976-10-01,13
1976-11-01,332
1976-12-01,211
1977-01-01,244
1977-02-01,296
1977-03-01,403
1977-04-01,338
1977-05-01,360
1977-06-01,399
1977-07-01,348
1977-08-01,238
1977-09-01,458
1977-10-01,262
1977-11-01,379
1977-12-01,235
1978-01-01,187
1978-02-01,353
1978-03-01,513
1978-04-01,702
1978-05-01,346
1978-06-01,442
1978-07-01,254
1978-08-01,276
1978-09-01,137
1978-10-01,336
1978-11-01,437
1978-12-01,282
1979-01-01,137
1979-02-01,244
1979-03-01,426
1979-04-01,-62
1979-05-01,373
1979-06-01,318
1979-07-01,106
1979-08-01,82
1979-09-01,28
1979-10-01,157
1979-11-01,94
1979-12-01,97
1980-01-01,129
1980-02-01,80
1980-03-01,112
1980-04-01,-144
1980-05-01,-431
1980-06-01,-320
1980-07-01,-262
1980-08-01,260
1980-09-01,113
1980-10-01,281
1980-11-01,257
1980-12-01,195
1981-01-01,94
1981-02-01,68
1981-03-01,105
1981-04-01,73
1981-05-01,10
1981-06-01,197
1981-07-01,112
1981-08-01,-36
1981-09-01,-87
1981-10-01,-99
1981-11-01,-209
1981-12-01,-278
1982-01-01,-326
1982-02-01,-5
1982-03-01,-130
1982-04-01,-280
1982-05-01,-45
1982-06-01,-243
1982-07-01,-342
1982-08-01,-158
1982-09-01,-181
1982-10-01,-277
1982-11-01,-123
1982-12-01,-14
1983-01-01,224
1983-02-01,-75
1983-03-01,172
1983-04-01,276
1983-05-01,277
1983-06-01,379
1983-07-01,418
1983-08-01,-308
1983-09-01,1115
1983-10-01,271
1983-11-01,353
1983-12-01,356
1984-01-01,446
1984-02-01,481
1984-03-01,275
1984-04-01,363
1984-05-01,308
1984-06-01,379
1984-07-01,313
1984-08-01,242
1984-09-01,310
1984-10-01,286
1984-11-01,349
1984-12-01,128
1985-01-01,266
1985-02-01,124
1985-03-01,346
1985-04-01,196
1985-05-01,274
1985-06-01,146
1985-07-01,190
1985-08-01,193
1985-09-01,203
1985-10-01,188
1985-11-01,209
1985-12-01,167
1986-01-01,125
1986-02-01,107
1986-03-01,94
1986-04-01,187
1986-05-01,127
1986-06-01,-94
1986-07-01,318
1986-08-01,114
1986-09-01,347
1986-10-01,186
1986-11-01,186
1986-12-01,205
1987-01-01,172
1987-02-01,232
1987-03-01,249
1987-04-01,338
1987-05-01,226
1987-06-01,172
1987-07-01,347
1987-08-01,171
1987-09-01,228
1987-10-01,492
1987-11-01,232
1987-12-01,294
1988-01-01,94
1988-02-01,453
1988-03-01,276
1988-04-01,245
1988-05-01,229
1988-06-01,363
1988-07-01,222
1988-08-01,124
1988-09-01,339
1988-10-01,268
1988-11-01,339
1988-12-01,290
1989-01-01,262
1989-02-01,258
1989-03-01,193
1989-04-01,173
1989-05-01,118
1989-06-01,116
1989-07-01,40
1989-08-01,49
1989-09-01,250
1989-10-01,111
1989-11-01,277
1989-12-01,96
1990-01-01,335
1990-02-01,248
1990-03-01,215
1990-04-01,40
1990-05-01,153
1990-06-01,25
1990-07-01,-36
1990-08-01,-210
1990-09-01,-102
1990-10-01,-147
1990-11-01,-150
1990-12-01,-57
1991-01-01,-121
1991-02-01,-307
1991-03-01,-158
1991-04-01,-212
1991-05-01,-116
1991-06-01,88
1991-07-01,-40
1991-08-01,17
1991-09-01,20
1991-10-01,25
1991-11-01,-56
1991-12-01,22
1992-01-01,49
1992-02-01,-57
1992-03-01,52
1992-04-01,157
1992-05-01,127
1992-06-01,65
1992-07-01,74
1992-08-01,135
1992-09-01,32
1992-10-01,186
1992-11-01,132
1992-12-01,217
1993-01-01,310
1993-02-01,247
1993-03-01,-54
1993-04-01,307
1993-05-01,269
1993-06-01,176
1993-07-01,306
1993-08-01,155
1993-09-01,245
1993-10-01,286
1993-11-01,250
1993-12-01,323
1994-01-01,276
1994-02-01,198
1994-03-01,461
1994-04-01,347
1994-05-01,333
1994-06-01,319
1994-07-01,370
1994-08-01,282
1994-09-01,360
1994-10-01,209
1994-11-01,407
1994-12-01,292
1995-01-01,327
1995-02-01,198
1995-03-01,219
1995-04-01,162
1995-05-01,-17
1995-06-01,240
1995-07-01,92
1995-08-01,252
1995-09-01,252
1995-10-01,152
1995-11-01,146
1995-12-01,132
1996-01-01,-13
1996-02-01,425
1996-03-01,265
1996-04-01,165
1996-05-01,326
1996-06-01,281
1996-07-01,251
1996-08-01,185
1996-09-01,213
1996-10-01,261
1996-11-01,295
1996-12-01,171
1997-01-01,231
1997-02-01,308
1997-03-01,312
1997-04-01,292
1997-05-01,263
1997-06-01,264
1997-07-01,303
1997-08-01,-22
1997-09-01,499
1997-10-01,344
1997-11-01,299
1997-12-01,318
1998-01-01,272
1998-02-01,198
1998-03-01,145
1998-04-01,280
1998-05-01,402
1998-06-01,223
1998-07-01,130
1998-08-01,340
1998-09-01,218
1998-10-01,201
1998-11-01,273
1998-12-01,367
1999-01-01,117
1999-02-01,410
1999-03-01,107
1999-04-01,372
1999-05-01,211
1999-06-01,264
1999-07-01,328
1999-08-01,154
1999-09-01,225
1999-10-01,394
1999-11-01,289
1999-12-01,310
2000-01-01,218
2000-02-01,131
2000-03-01,467
2000-04-01,293
2000-05-01,219
2000-06-01,-36
2000-07-01,173
2000-08-01,-15
2000-09-01,144
2000-10-01,-15
2000-11-01,222
2000-12-01,137
2001-01-01,-25
2001-02-01,74
2001-03-01,-28
2001-04-01,-279
2001-05-01,-41
2001-06-01,-121
2001-07-01,-108
2001-08-01,-146
2001-09-01,-250
2001-10-01,-328
2001-11-01,-297
2001-12-01,-177
2002-01-01,-149
2002-02-01,-128
2002-03-01,-17
2002-04-01,-83
2002-05-01,17
2002-06-01,51
2002-07-01,-77
2002-08-01,-7
2002-09-01,-67
2002-10-01,113
2002-11-01,6
2002-12-01,-170
2003-01-01,107
2003-02-01,-146
2003-03-01,-208
2003-04-01,-49
2003-05-01,11
2003-06-01,-7
2003-07-01,19
2003-08-01,-46
2003-09-01,110
2003-10-01,205
2003-11-01,3
2003-12-01,121
2004-01-01,167
2004-02-01,58
2004-03-01,328
2004-04-01,254
2004-05-01,297
2004-06-01,82
2004-07-01,45
2004-08-01,116
2004-09-01,157
2004-10-01,348
2004-11-01,63
2004-12-01,126
2005-01-01,147
2005-02-01,244
2005-03-01,138
2005-04-01,358
2005-05-01,172
2005-06-01,247
2005-07-01,371
2005-08-01,196
2005-09-01,66
2005-10-01,86
2005-11-01,337
2005-12-01,155
2006-01-01,282
2006-02-01,312
2006-03-01,297
2006-04-01,168
2006-05-01,31
2006-06-01,79
2006-07-01,206
2006-08-01,179
2006-09-01,148
2006-10-01,12
2006-11-01,208
2006-12-01,173
2007-01-01,234
2007-02-01,85
2007-03-01,214
2007-04-01,59
2007-05-01,153
2007-06-01,77
2007-07-01,-30
2007-08-01,-28
2007-09-01,96
2007-10-01,78
2007-11-01,106
2007-12-01,104
2008-01-01,8
2008-02-01,-81
2008-03-01,-55
2008-04-01,-229
2008-05-01,-184
2008-06-01,-154
2008-07-01,-213
2008-08-01,-277
2008-09-01,-443
2008-10-01,-475
2008-11-01,-759
2008-12-01,-707
2009-01-01,-787
2009-02-01,-704
2009-03-01,-802
2009-04-01,-704
2009-05-01,-354
2009-06-01,-469
2009-07-01,-342
2009-08-01,-196
2009-09-01,-229
2009-10-01,-209
2009-11-01,12
2009-12-01,-277
2010-01-01,18
2010-02-01,-73
2010-03-01,193
2010-04-01,221
2010-05-01,522
2010-06-01,-140
2010-07-01,-78
2010-08-01,-16
2010-09-01,-63
2010-10-01,267
2010-11-01,129
2010-12-01,73
2011-01-01,44
2011-02-01,182
2011-03-01,254
2011-04-01,323
2011-05-01,81
2011-06-01,234
2011-07-01,72
2011-08-01,112
2011-09-01,233
2011-10-01,209
2011-11-01,145
2011-12-01,201
2012-01-01,348
2012-02-01,233
2012-03-01,264
2012-04-01,72
2012-05-01,117
2012-06-01,68
2012-07-01,156
2012-08-01,173
2012-09-01,194
2012-10-01,153
2012-11-01,130
2012-12-01,243
2013-01-01,207
2013-02-01,265
2013-03-01,156
2013-04-01,179
2013-05-01,240
2013-06-01,158
2013-07-01,111
2013-08-01,260
2013-09-01,201
2013-10-01,210
2013-11-01,221
2013-12-01,93
2014-01-01,174
2014-02-01,182
2014-03-01,261
2014-04-01,311
2014-05-01,252
2014-06-01,306
2014-07-01,196
2014-08-01,226
2014-09-01,284
2014-10-01,255
2014-11-01,307
2014-12-01,251
2015-01-01,211
2015-02-01,267
2015-03-01,78
2015-04-01,282
2015-05-01,326
2015-06-01,191
2015-07-01,256
2015-08-01,164
2015-09-01,88
2015-10-01,351
2015-11-01,264
2015-12-01,234
2016-01-01,103
2016-02-01,257
2016-03-01,235
2016-04-01,174
2016-05-01,34
2016-06-01,285
2016-07-01,325
2016-08-01,175
2016-09-01,264
2016-10-01,140
2016-11-01,172
2016-12-01,180
2017-01-01,259
2017-02-01,200
2017-03-01,73
2017-04-01,175
2017-05-01,155
2017-06-01,239
2017-07-01,190
2017-08-01,221
2017-09-01,14
2017-10-01,271
2017-11-01,216
2017-12-01,175
2018-01-01,176
2018-02-01,324
2018-03-01,155
2018-04-01,175
2018-05-01,268
2018-06-01,248
2018-07-01,157
