curr,rate,day,week,month,year,high,low,date
{\includegraphics[width=.03\textwidth]{EUR}} {\href{https://www.quandl.com/data/CURRFX/USDEUR}{\textbf{EUR}}},0.807,{\color{red} $\blacktriangledown $ \normalcolor -0.66},{\color{red} $\blacktriangledown $ \normalcolor -1.70},{\color{red} $\blacktriangledown $ \normalcolor -4.37},{\color{red} $ \blacktriangledown $ \normalcolor -15.14},0.952,0.807,2018-01-25
{\includegraphics[width=.03\textwidth]{GBP}} {\href{https://www.quandl.com/data/CURRFX/USDGBP}{\textbf{GBP}}},0.703,{\color{red} $\blacktriangledown $ \normalcolor -1.45},{\color{red} $\blacktriangledown $ \normalcolor -2.84},{\color{red} $\blacktriangledown $ \normalcolor -6.32},{\color{red} $ \blacktriangledown $ \normalcolor -13.61},0.823,0.703,2018-01-25
{\includegraphics[width=.03\textwidth]{JPY}} {\href{https://www.quandl.com/data/CURRFX/USDJPY}{\textbf{JPY}}},109.326,{\color{red} $\blacktriangledown $ \normalcolor -0.71},{\color{red} $\blacktriangledown $ \normalcolor -1.88},{\color{red} $\blacktriangledown $ \normalcolor -3.64},{\color{red} $\blacktriangledown \ $ \normalcolor -3.15},115.145,108.231,2018-01-25
{\includegraphics[width=.03\textwidth]{CAD}} {\href{https://www.quandl.com/data/CURRFX/USDCAD}{\textbf{CAD}}},1.235,{\color{red} $\blacktriangledown $ \normalcolor -0.50},{\color{red} $\blacktriangledown $ \normalcolor -0.69},{\color{red} $\blacktriangledown $ \normalcolor -2.94},{\color{red} $\blacktriangledown \ $ \normalcolor -7.87},1.375,1.211,2018-01-25
{\includegraphics[width=.03\textwidth]{MXN}} {\href{https://www.quandl.com/data/CURRFX/USDMXN}{\textbf{MXN}}},18.535,{\color{red} $\blacktriangledown $ \normalcolor -0.75},{\color{red} $\blacktriangledown $ \normalcolor -0.98},{\color{red} $\blacktriangledown $ \normalcolor -6.51},{\color{red} $ \blacktriangledown $ \normalcolor -15.07},21.584,17.490,2018-01-25
{\includegraphics[width=.03\textwidth]{AUD}} {\href{https://www.quandl.com/data/CURRFX/USDAUD}{\textbf{AUD}}},1.242,{\color{red} $\blacktriangledown $ \normalcolor -0.56},{\color{red} $\blacktriangledown $ \normalcolor -0.96},{\color{red} $\blacktriangledown $ \normalcolor -4.19},{\color{red} $\blacktriangledown \ $ \normalcolor -6.14},1.362,1.241,2018-01-25
{\includegraphics[width=.03\textwidth]{CNY}} {\href{https://www.quandl.com/data/CURRFX/USDCNY}{\textbf{CNY}}},6.369,{\color{red} $\blacktriangledown $ \normalcolor -0.53},{\color{red} $\blacktriangledown $ \normalcolor -0.99},{\color{red} $\blacktriangledown $ \normalcolor -2.66},{\color{red} $\blacktriangledown \ $ \normalcolor -7.57},6.913,6.369,2018-01-25
{\includegraphics[width=.03\textwidth]{CHF}} {\href{https://www.quandl.com/data/CURRFX/USDCHF}{\textbf{CHF}}},0.946,{\color{red} $\blacktriangledown $ \normalcolor -1.08},{\color{red} $\blacktriangledown $ \normalcolor -1.98},{\color{red} $\blacktriangledown $ \normalcolor -4.50},{\color{red} $\blacktriangledown \ $ \normalcolor -5.38},1.014,0.945,2018-01-25
{\includegraphics[width=.03\textwidth]{NZD}} {\href{https://www.quandl.com/data/CURRFX/USDNZD}{\textbf{NZD}}},1.363,{\color{green!80!black} $ \blacktriangle \ $ \normalcolor 0.35},{\color{red} $\blacktriangledown $ \normalcolor -0.88},{\color{red} $\blacktriangledown $ \normalcolor -4.40},{\color{red} $\blacktriangledown \ $ \normalcolor -1.39},1.470,1.329,2018-01-25
{\includegraphics[width=.03\textwidth]{SEK}} {\href{https://www.quandl.com/data/CURRFX/USDSEK}{\textbf{SEK}}},7.931,{\color{red} $\blacktriangledown $ \normalcolor -0.84},{\color{red} $\blacktriangledown $ \normalcolor -1.48},{\color{red} $\blacktriangledown $ \normalcolor -4.96},{\color{red} $ \blacktriangledown $ \normalcolor -11.76},9.082,7.919,2018-01-25
{\includegraphics[width=.03\textwidth]{NOK}} {\href{https://www.quandl.com/data/CURRFX/USDNOK}{\textbf{NOK}}},7.760,{\color{red} $\blacktriangledown $ \normalcolor -0.75},{\color{red} $\blacktriangledown $ \normalcolor -1.58},{\color{red} $\blacktriangledown $ \normalcolor -7.14},{\color{red} $\blacktriangledown \ $ \normalcolor -7.60},8.678,7.729,2018-01-25
{\includegraphics[width=.03\textwidth]{DKK}} {\href{https://www.quandl.com/data/CURRFX/USDDKK}{\textbf{DKK}}},6.008,{\color{red} $\blacktriangledown $ \normalcolor -0.65},{\color{red} $\blacktriangledown $ \normalcolor -1.70},{\color{red} $\blacktriangledown $ \normalcolor -4.35},{\color{red} $ \blacktriangledown $ \normalcolor -15.02},7.073,6.008,2018-01-25
{\includegraphics[width=.03\textwidth]{RUB}} {\href{https://www.quandl.com/data/CURRFX/USDRUB}{\textbf{RUB}}},56.184,{\color{red} $\blacktriangledown $ \normalcolor -0.29},{\color{red} $\blacktriangledown $ \normalcolor -1.21},{\color{red} $\blacktriangledown $ \normalcolor -3.30},{\color{red} $\blacktriangledown \ $ \normalcolor -6.19},60.760,55.780,2018-01-25
{\includegraphics[width=.03\textwidth]{HKD}} {\href{https://www.quandl.com/data/CURRFX/USDHKD}{\textbf{HKD}}},7.818,{\color{red} $\blacktriangledown $ \normalcolor -0.01},{\color{red} $\blacktriangledown $ \normalcolor 0.00},{\color{green!80!black} $ \blacktriangle \ $ \normalcolor 0.04},{\color{green!80!black} $ \blacktriangle \ \ $ \normalcolor 0.78},7.826,7.756,2018-01-25
{\includegraphics[width=.03\textwidth]{SGD}} {\href{https://www.quandl.com/data/CURRFX/USDSGD}{\textbf{SGD}}},1.309,{\color{red} $\blacktriangledown $ \normalcolor -0.57},{\color{red} $\blacktriangledown $ \normalcolor -1.26},{\color{red} $\blacktriangledown $ \normalcolor -2.63},{\color{red} $\blacktriangledown \ $ \normalcolor -8.84},1.431,1.309,2018-01-25
{\includegraphics[width=.03\textwidth]{TWD}} {\href{https://www.quandl.com/data/CURRFX/USDTWD}{\textbf{TWD}}},29.088,{\color{red} $\blacktriangledown $ \normalcolor -0.62},{\color{red} $\blacktriangledown $ \normalcolor -1.61},{\color{red} $\blacktriangledown $ \normalcolor -2.79},{\color{red} $\blacktriangledown \ $ \normalcolor -7.96},31.530,29.088,2018-01-25
{\includegraphics[width=.03\textwidth]{KRW}} {\href{https://www.quandl.com/data/CURRFX/USDKRW}{\textbf{KRW}}},1064.400,{\color{red} $\blacktriangledown $ \normalcolor -0.79},{\color{red} $\blacktriangledown $ \normalcolor -0.20},{\color{red} $\blacktriangledown $ \normalcolor -1.12},{\color{red} $\blacktriangledown \ $ \normalcolor -9.18},1177.320,1055.800,2018-01-25
{\includegraphics[width=.03\textwidth]{TRY}} {\href{https://www.quandl.com/data/CURRFX/USDTRY}{\textbf{TRY}}},3.749,{\color{red} $\blacktriangledown $ \normalcolor -0.50},{\color{red} $\blacktriangledown $ \normalcolor -1.75},{\color{red} $\blacktriangledown $ \normalcolor -1.52},{\color{red} $\blacktriangledown \ $ \normalcolor -0.43},3.964,3.403,2018-01-25
{\includegraphics[width=.03\textwidth]{ZAR}} {\href{https://www.quandl.com/data/CURRFX/USDZAR}{\textbf{ZAR}}},11.874,{\color{red} $\blacktriangledown $ \normalcolor -1.28},{\color{red} $\blacktriangledown $ \normalcolor -3.64},{\color{red} $\blacktriangledown $ \normalcolor -6.05},{\color{red} $ \blacktriangledown $ \normalcolor -14.45},14.382,11.874,2018-01-25
{\includegraphics[width=.03\textwidth]{BRL}} {\href{https://www.quandl.com/data/CURRFX/USDBRL}{\textbf{BRL}}},3.145,{\color{red} $\blacktriangledown $ \normalcolor -2.87},{\color{red} $\blacktriangledown $ \normalcolor -2.45},{\color{red} $\blacktriangledown $ \normalcolor -6.05},{\color{red} $\blacktriangledown \ $ \normalcolor -0.56},3.369,3.056,2018-01-25
{\includegraphics[width=.03\textwidth]{INR}} {\href{https://www.quandl.com/data/CURRFX/USDINR}{\textbf{INR}}},63.578,{\color{red} $\blacktriangledown $ \normalcolor -0.27},{\color{red} $\blacktriangledown $ \normalcolor -0.39},{\color{red} $\blacktriangledown $ \normalcolor -0.68},{\color{red} $\blacktriangledown \ $ \normalcolor -7.03},68.164,63.265,2018-01-25
{\includegraphics[width=.03\textwidth]{ILS}} {\href{https://www.quandl.com/data/CURRFX/USDILS}{\textbf{ILS}}},3.408,{\color{green!80!black} $ \blacktriangle \ $ \normalcolor 0.02},{\color{red} $\blacktriangledown $ \normalcolor -0.76},{\color{red} $\blacktriangledown $ \normalcolor -1.97},{\color{red} $ \blacktriangledown $ \normalcolor -11.01},3.799,3.390,2018-01-25
{\includegraphics[width=.03\textwidth]{EGP}} {\href{https://www.quandl.com/data/CURRFX/USDEGP}{\textbf{EGP}}},17.662,{\color{red} $\blacktriangledown $ \normalcolor -0.20},{\color{red} $\blacktriangledown $ \normalcolor -0.16},{\color{red} $\blacktriangledown $ \normalcolor -0.91},{\color{red} $\blacktriangledown \ $ \normalcolor -7.30},18.950,15.700,2018-01-25
{\includegraphics[width=.03\textwidth]{THB}} {\href{https://www.quandl.com/data/CURRFX/USDTHB}{\textbf{THB}}},31.546,{\color{red} $\blacktriangledown $ \normalcolor -0.67},{\color{red} $\blacktriangledown $ \normalcolor -1.38},{\color{red} $\blacktriangledown $ \normalcolor -3.66},{\color{red} $ \blacktriangledown $ \normalcolor -11.71},35.380,31.546,2018-01-25
{\includegraphics[width=.03\textwidth]{IDR}} {\href{https://www.quandl.com/data/CURRFX/USDIDR}{\textbf{IDR}}},13298.000,{\color{red} $\blacktriangledown $ \normalcolor -0.29},{\color{red} $\blacktriangledown $ \normalcolor -0.29},{\color{red} $\blacktriangledown $ \normalcolor -1.76},{\color{red} $\blacktriangledown \ $ \normalcolor -0.43},13643.000,13105.000,2018-01-25
{\includegraphics[width=.03\textwidth]{MYR}} {\href{https://www.quandl.com/data/CURRFX/USDMYR}{\textbf{MYR}}},3.910,{\color{red} $\blacktriangledown $ \normalcolor -0.37},{\color{red} $\blacktriangledown $ \normalcolor -1.20},{\color{red} $\blacktriangledown $ \normalcolor -4.38},{\color{red} $ \blacktriangledown $ \normalcolor -13.45},4.459,3.910,2018-01-25
{\includegraphics[width=.03\textwidth]{ARS}} {\href{https://www.quandl.com/data/CURRFX/USDARS}{\textbf{ARS}}},19.642,{\color{green!80!black} $ \blacktriangle \ $ \normalcolor 1.59},{\color{green!80!black} $ \blacktriangle \ $ \normalcolor 3.95},{\color{green!80!black} $ \blacktriangle \ $ \normalcolor 8.89},{\color{green!80!black} $ \blacktriangle \ $ \normalcolor 18.94},19.642,15.114,2018-01-25
{\includegraphics[width=.03\textwidth]{COP}} {\href{https://www.quandl.com/data/CURRFX/USDCOP}{\textbf{COP}}},2811.000,{\color{red} $\blacktriangledown $ \normalcolor -1.53},{\color{red} $\blacktriangledown $ \normalcolor -0.62},{\color{red} $\blacktriangledown $ \normalcolor -3.84},{\color{red} $\blacktriangledown \ $ \normalcolor -4.03},3094.250,2809.000,2018-01-25
{\includegraphics[width=.03\textwidth]{CLP}} {\href{https://www.quandl.com/data/CURRFX/USDCLP}{\textbf{CLP}}},602.200,{\color{red} $\blacktriangledown $ \normalcolor -1.13},{\color{red} $\blacktriangledown $ \normalcolor -0.70},{\color{red} $\blacktriangledown $ \normalcolor -0.93},{\color{red} $\blacktriangledown \ $ \normalcolor -8.46},678.300,588.400,2018-01-25
